Назва товару,Ціна,Категорія
"Ноутбук Lenovo IdeaPad Slim 5 16IAH8 (83BG001ARA) Cloud Grey / 16"" IPS WUXGA / Intel Core i5-12450H / RAM 16 ГБ / SSD 512 ГБ / Підсвічування клавіатури / Зарядка через Type-C",27 999₴,Ноутбуки
"Ноутбук Acer Aspire 7 A715-76G-560W (NH.QMMEU.002) Charcoal Black / 15.6"" IPS Full HD / Intel Core i5-12450H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050, 4 ГБ / Підсвітка клавіатури",29 999₴,Ноутбуки
"Ноутбук ASUS TUF Gaming F15 FX507ZC4-HN083 (90NR0GW1-M006E0) Mecha Gray / 15.6"" IPS Full HD 144 Гц / Intel Core i5-12500H / RAM 16 ГБ / SSD 512 ГБ / GeForce RTX 3050, 4 ГБ",33 999₴,Ноутбуки
"Ноутбук Apple MacBook Air 13"" M1 8/256GB 2020 (MGN63) Space Gray",35 999₴,Ноутбуки
"Ноутбук Lenovo IdeaPad Slim 5 16IAH8 (83BG001ARA) Cloud Grey / 16"" IPS WUXGA / Intel Core i5-12450H / RAM 16 ГБ / SSD 512 ГБ / Підсвічування клавіатури / Зарядка через Type-C",27 999₴,Ноутбуки
"Ноутбук Acer Aspire 7 A715-76G-560W (NH.QMMEU.002) Charcoal Black / 15.6"" IPS Full HD / Intel Core i5-12450H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050, 4 ГБ / Підсвітка клавіатури",29 999₴,Ноутбуки
"Ноутбук ASUS TUF Gaming F15 FX507ZC4-HN083 (90NR0GW1-M006E0) Mecha Gray / 15.6"" IPS Full HD 144 Гц / Intel Core i5-12500H / RAM 16 ГБ / SSD 512 ГБ / GeForce RTX 3050, 4 ГБ",33 999₴,Ноутбуки
"Ноутбук Apple MacBook Air 13"" M1 8/256GB 2020 (MGN63) Space Gray",35 999₴,Ноутбуки
"Ноутбук HP 250 G9 (9V1E3AT) Asteroid Silver / 15.6"" IPS Full HD / Intel Core i5-1235U / RAM 16 ГБ / SSD 512 ГБ",19 999₴,Ноутбуки
"Ноутбук Lenovo IdeaPad Slim 3 15AMN8 (82XQ00L1RA) Arctic Grey / 15.6"" IPS Full HD / AMD Ryzen 5 7520U / RAM 16 ГБ / SSD 512 ГБ",20 499₴,Ноутбуки
"Ноутбук Acer Aspire 3 A315-59-51ST (NX.K6SEU.00M) Pure Silver / 15.6"" IPS Full HD / Intel Core i5-1235U / RAM 16 ГБ / SSD 512 ГБ /",21 999₴,Ноутбуки
"Ноутбук ASUS TUF Gaming A15 FA507NVR-LP086 (90NR0JK8-M00550) Jaeger Gray / 15.6"" IPS Full HD 144 Гц / AMD Ryzen 7 7435HS / RAM 16 ГБ / SSD 512 ГБ / GeForce RTX 4060, 8 ГБ",44 999₴,Ноутбуки
Ноутбук HP Laptop 15s-fq5000ua (7X8E4EA) Spruce Blue / Intel Core i3-1215U / RAM 16 ГБ / SSD 512 ГБ,18 999₴,Ноутбуки
"Ноутбук ASUS TUF Gaming A15 (2023) FA507NUR-LP003 (90NR0JP5-M00460) Mecha Gray / 15.6"" IPS 144 Гц / AMD Ryzen 7 7435HS / RAM 16 ГБ / SSD 512 ГБ / RTX 4050, 6 ГБ",41 999₴,Ноутбуки
"Ноутбук Lenovo V14 G4 IRU (83A000E0RA) Business Black / 14"" IPS Full HD / Intel Core i3-1315U / RAM 8 ГБ / SSD 512 ГБ",14 999₴,Ноутбуки
"Ноутбук HP Victus Gaming Laptop 15-fa0022ua (A2BK1EA) Performance Blue / 15.6"" IPS Full HD 144 Гц / Intel Core i5-12450H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050, 4 ГБ / + Комплект дротовий Piko 4 в 1 GX200 USB у подарунок!",31 999₴,Ноутбуки
"Ноутбук ASUS TUF Gaming A15 FA507UI-LP064 (90NR0I65-M003A0) Mecha Gray / 15.6"" IPS Full HD 144 Гц / AMD Ryzen 7 8845HS / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 4070",59 999₴,Ноутбуки
"Ноутбук Acer Nitro V 15 ANV15-41-R9PG (NH.QSHEU.00B) Obsidian Black / 15.6"" IPS Full HD 144 Гц / AMD Ryzen 5 7535HS / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050, 6 ГБ + + Беспровідний геймпад Acer Nitro NGR300 в подарунок!",34 999₴,Ноутбуки
"Ноутбук Apple MacBook Air 13.6"" M2 8/256GB 2022 (MLXW3UA/A) Space Gray",48 499₴,Ноутбуки
